marketplace,model,price_usd,condition,memory,storage,processor,seller,location,title,url
Swappa,Mac Studio 2025,6953,Mint,128GB,1TB,Apple M4 Max 16-core,Jon K.,San Francisco CA,Sealed - Mac Studio M4 Max 128GB RAM 1TB SSD,https://swappa.com/listing/view/LAHO21079
Swappa,Mac Studio 2025,10810,Mint,256GB,1TB,Apple M3 Ultra 28-core,Scott,Columbia MD,Mac Studio M3 Ultra | 256GB Memory | 1TB SSD | 28c CPU | 60c GPU | Apple Certified RFB | AppleCare+,https://swappa.com/listing/view/LAHJ95238
Swappa,Mac Studio 2025,11330,New,256GB,1TB,Apple M3 Ultra 28-core,Ben B.,El Dorado Hills CA,NEW SEALED Retail Mac Studio M3 Ultra 28C/60C • 256GB RAM • 1TB SSD • 2 Day Air,https://swappa.com/listing/view/LAHV99930
Swappa,Mac Studio 2025,12360,Good,256GB,1TB,Apple M3 Ultra 32-core,Adison,Pasadena CA,Mac Studio 32C 256GB RAM,https://swappa.com/listing/view/LAHZ43149
Swappa,Mac Studio 2025,12875,Mint,256GB,1TB,Apple M3 Ultra 32-core,Scott,Columbia MD,Mac Studio M3 Ultra | 256GB Memory | 1TB SSD | 32c CPU | 80c GPU | Apple Certified RFB | AppleCare+,https://swappa.com/listing/view/LAHK05574
Swappa,Mac Studio 2025,15350,Mint,256GB,4TB,Apple M3 Ultra 32-core,Zee W.,Los Angeles CA,Mac Studio M3 Ultra | 256GB RAM | 4TB SSD | 32c CPU | 80c GPU | Apple Certified Refurbished,https://swappa.com/listing/view/LAID48009
Swappa,Mac Studio 2025,20600,Mint,256GB,16TB,Apple M3 Ultra 32-core,Scott R.,Columbia MD,Mac Studio M3 Ultra | 256GB Memory | 16TB SSD | 32c CPU | 80c GPU | Apple Certified RFB | AppleCare+,https://swappa.com/listing/view/LAHJ10000
